case_id,worker_count,lock_mode,id,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
2,1,FOR UPDATE,121,noop,completed,2026-02-22T00:39:06.248074Z,2026-02-22T00:39:06.248074Z,2026-02-22T00:40:35.869389Z,2026-02-22T00:40:36.227943Z,,89621.315
2,1,FOR UPDATE,122,noop,completed,2026-02-22T00:39:06.250459Z,2026-02-22T00:39:06.250459Z,2026-02-22T00:40:36.232677Z,2026-02-22T00:40:36.592345Z,,89982.218
2,1,FOR UPDATE,123,noop,completed,2026-02-22T00:39:06.252824Z,2026-02-22T00:39:06.252824Z,2026-02-22T00:40:36.598422Z,2026-02-22T00:40:36.956466Z,,90345.598
2,1,FOR UPDATE,124,noop,completed,2026-02-22T00:39:06.255932Z,2026-02-22T00:39:06.255932Z,2026-02-22T00:40:36.963339Z,2026-02-22T00:40:37.32139Z,,90707.407
2,1,FOR UPDATE,125,noop,completed,2026-02-22T00:39:06.258677Z,2026-02-22T00:39:06.258677Z,2026-02-22T00:40:37.327164Z,2026-02-22T00:40:37.686357Z,,91068.487
2,1,FOR UPDATE,126,noop,completed,2026-02-22T00:39:06.26152Z,2026-02-22T00:39:06.26152Z,2026-02-22T00:40:37.695444Z,2026-02-22T00:40:38.052729Z,,91433.924
2,1,FOR UPDATE,127,noop,completed,2026-02-22T00:39:06.26697Z,2026-02-22T00:39:06.26697Z,2026-02-22T00:40:38.057724Z,2026-02-22T00:40:38.414869Z,,91790.754
2,1,FOR UPDATE,128,noop,completed,2026-02-22T00:39:06.268987Z,2026-02-22T00:39:06.268987Z,2026-02-22T00:40:38.420163Z,2026-02-22T00:40:38.77664Z,,92151.176
2,1,FOR UPDATE,129,noop,completed,2026-02-22T00:39:06.270911Z,2026-02-22T00:39:06.270911Z,2026-02-22T00:40:38.780585Z,2026-02-22T00:40:39.138492Z,,92509.674
2,1,FOR UPDATE,130,noop,completed,2026-02-22T00:39:06.272917Z,2026-02-22T00:39:06.272917Z,2026-02-22T00:40:39.144739Z,2026-02-22T00:40:39.503867Z,,92871.822
2,1,FOR UPDATE,131,noop,completed,2026-02-22T00:39:06.27542Z,2026-02-22T00:39:06.27542Z,2026-02-22T00:40:39.510235Z,2026-02-22T00:40:39.867437Z,,93234.815
2,1,FOR UPDATE,132,noop,completed,2026-02-22T00:39:06.27769Z,2026-02-22T00:39:06.27769Z,2026-02-22T00:40:39.871694Z,2026-02-22T00:40:40.229868Z,,93594.004
2,1,FOR UPDATE,133,noop,completed,2026-02-22T00:39:06.280023Z,2026-02-22T00:39:06.280023Z,2026-02-22T00:40:40.235671Z,2026-02-22T00:40:40.593656Z,,93955.648
2,1,FOR UPDATE,134,noop,completed,2026-02-22T00:39:06.282392Z,2026-02-22T00:39:06.282392Z,2026-02-22T00:40:40.599148Z,2026-02-22T00:40:40.957992Z,,94316.756
2,1,FOR UPDATE,135,noop,completed,2026-02-22T00:39:06.285344Z,2026-02-22T00:39:06.285344Z,2026-02-22T00:40:40.964016Z,2026-02-22T00:40:41.325093Z,,94678.672
2,1,FOR UPDATE,136,noop,completed,2026-02-22T00:39:06.288094Z,2026-02-22T00:39:06.288094Z,2026-02-22T00:40:41.333787Z,2026-02-22T00:40:41.692241Z,,95045.693
2,1,FOR UPDATE,137,noop,completed,2026-02-22T00:39:06.290859Z,2026-02-22T00:39:06.290859Z,2026-02-22T00:40:41.697852Z,2026-02-22T00:40:42.055926Z,,95406.993
